X,Y,OBJECTID,County_Code,Application_Number,Legal_Entity_Name,Facility_Name,Facility_Address1,Facility_Address2,Additional_Facility_Locations,Facility_City,Facility_State,Facility_Zip,Facility_Phone,Type_of_Application,Program_Code,Treatment_Capacity,Total_Capacity,Expiration_Date,Target_Population,Incident_Medical_Services,Adolescent_Waiver,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,Latitude,Longitude,CountyName
-122.119561807,37.709378185,1,01,010001DN,"HORIZON SERVICES, INCORPORATED",CHERRY HILL DETOXIFICATION SERVICES PROGRAM,2035 FAIRMONT DRIVE,,,SAN LEANDRO,CA,94578,(510) 346-7833,Licensed,RES-DETOX,32,32,1/31/2028,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.710573863103,-122.121065604557,Alameda County
-122.265214977,37.8273909810001,2,01,010001AN,"HORIZON SERVICES, INCORPORATED",CHRYSALIS,3837 TELEGRAPH AVENUE,,"3839, 3841, AND 3843 TELEGRAPH AVENUE",OAKLAND,CA,94609,(510) 450-1190,Licensed and Certified,RES,20,20,10/31/2027,1.3 --- WOMEN ONLY,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.827325099067,-122.264973997262,Alameda County
-121.866171342,37.6741025680001,3,01,010001EN,"HORIZON SERVICES, INCORPORATED",PROJECT EDEN - EAST COUNTY,1020 SERPENTINE LANE,SUITE 100,,PLEASANTON,CA,94566,(925) 444-7040,Certified,NON,0,0,8/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67451688539,-121.866164804374,Alameda County
-122.065851158,37.682861363,4,01,010001FN,"HORIZON SERVICES, INCORPORATED",PROJECT EDEN,1866 B. STREET,SUITE 101,,HAYWARD,CA,94541,(510) 247-8202,Certified,NON,0,0,8/31/2026,1.5 --- YOUTH/ADOLESCENT,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.682698167713,-122.065751749121,Alameda County
-122.275710126,37.817001444,5,01,010003CN,LIFELONG MEDICAL CARE,EBCRP OUTPATIENT OAKLAND,2577 SAN PABLO AVENUE,,,OAKLAND,CA,94612,(510) 446-7180,Certified,NON,0,0,1/31/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.81708040173,-122.275466631295,Alameda County
-122.27547845,37.8162603580001,6,01,010003BN,LIFELONG MEDICAL CARE,EBCRP RESIDENTIAL PROGRAM FOR WOMEN AND CHILDREN,2545 SAN PABLO AVENUE,,,OAKLAND,CA,94612,(510) 446-7160,Licensed and Certified,RES,20,20,1/31/2027,1.4 --- WOMEN/CHILDREN,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.816345183093,-122.275231686549,Alameda County
-122.114775534,37.63875847,7,01,010001BN,"HORIZON SERVICES, INCORPORATED",CRONIN HOUSE,2575 DEPOT ROAD,,,HAYWARD,CA,94545,(510) 784-5874,Licensed and Certified,RES,52,52,2/28/2026,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.638758470328,-122.114775534366,Alameda County
-122.012782396,37.550280275,8,01,010010AN,CARNALES UNIDOS REFORMANDO ADICTOS INCORPORATE,"C.U.R.A., INC.",37437 GLENMOOR DRIVE,,,FREMONT,CA,94536,(510) 713-3200,Licensed and Certified,RES,51,51,1/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55059224905,-122.012629090814,Alameda County
-122.262544335,37.875560395,9,01,010013AN,"THE NEW BRIDGE FOUNDATION, INC.",NEW BRIDGE FOUNDATION,1816 SCENIC AVENUE,,"1820, 1850 SCENIC AVENUE AND 2325 HEARST AVENUE",BERKELEY,CA,94709,(510) 548-7270,Licensed and Certified,RES-DETOX,93,93,5/31/2026,1.1 --- CO-ED,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.875605909096,-122.262338391627,Alameda County
-122.258244838,37.8766131200001,10,01,010013BN,"THE NEW BRIDGE FOUNDATION, INC.",NEW BRIDGE FOUNDATION - HELIOS,1777 LE ROY AVENUE,,,BERKELEY,CA,94709,(510) 548-7270,Certified,NON,0,0,7/31/2026,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.876547741646,-122.258535857433,Alameda County
-122.262918168,37.8748883760001,11,01,010013CN,"THE NEW BRIDGE FOUNDATION, INC.","NEW BRIDGE FOUNDATION, INC. ",2323 HEARST AVENUE,,,BERKELEY,CA,94709,(510) 548-7270,Certified,NON,0,0,6/30/2027,1.1 --- CO-ED,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.874772454554,-122.262902912806,Alameda County
