Report Year,Geography,Notice of Adverse Benefit Determination Category,Appeal Count,Unresolved as of June 30,Decision Upheld,Decision Overturned
FY2021,State,Denial Notice,35,3,19,13
FY2021,State,Payment Denial Notice,912,4,517,391
FY2021,State,Delivery System Notice,20,1,10,9
FY2021,State,Modification Notice,3,0,1,2
FY2021,State,Termination Notice,101,7,30,64
FY2021,State,Authorization Delay Notice,0,0,0,0
FY2021,State,Timely Access Notice,2,0,1,1
FY2021,State,Financial Liability Notice,1,0,1,0
FY2021,State,Grievance and Appeal Timely Resolution Notice,1,0,1,0
FY2021,State,All,1075,15,580,480
FY2021,Alameda,Denial Notice,2,0,0,2
FY2021,Alameda,Payment Denial Notice,0,0,0,0
FY2021,Alameda,Delivery System Notice,0,0,0,0
FY2021,Alameda,Modification Notice,0,0,0,0
FY2021,Alameda,Termination Notice,3,0,3,0
FY2021,Alameda,Authorization Delay Notice,0,0,0,0
FY2021,Alameda,Timely Access Notice,0,0,0,0
FY2021,Alameda,Financial Liability Notice,0,0,0,0
FY2021,Alameda,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Alameda,All,5,0,3,2
FY2021,Alpine,Denial Notice,0,0,0,0
FY2021,Alpine,Payment Denial Notice,0,0,0,0
FY2021,Alpine,Delivery System Notice,0,0,0,0
FY2021,Alpine,Modification Notice,0,0,0,0
FY2021,Alpine,Termination Notice,0,0,0,0
FY2021,Alpine,Authorization Delay Notice,0,0,0,0
FY2021,Alpine,Timely Access Notice,0,0,0,0
FY2021,Alpine,Financial Liability Notice,0,0,0,0
FY2021,Alpine,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Alpine,All,0,0,0,0
FY2021,Amador,Denial Notice,0,0,0,0
FY2021,Amador,Payment Denial Notice,0,0,0,0
FY2021,Amador,Delivery System Notice,0,0,0,0
FY2021,Amador,Modification Notice,0,0,0,0
FY2021,Amador,Termination Notice,0,0,0,0
FY2021,Amador,Authorization Delay Notice,0,0,0,0
FY2021,Amador,Timely Access Notice,0,0,0,0
FY2021,Amador,Financial Liability Notice,0,0,0,0
FY2021,Amador,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Amador,All,0,0,0,0
FY2021,Butte,Denial Notice,0,0,0,0
FY2021,Butte,Payment Denial Notice,0,0,0,0
FY2021,Butte,Delivery System Notice,0,0,0,0
FY2021,Butte,Modification Notice,0,0,0,0
FY2021,Butte,Termination Notice,0,0,0,0
FY2021,Butte,Authorization Delay Notice,0,0,0,0
FY2021,Butte,Timely Access Notice,0,0,0,0
FY2021,Butte,Financial Liability Notice,0,0,0,0
FY2021,Butte,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Butte,All,0,0,0,0
FY2021,Calaveras,Denial Notice,0,0,0,0
FY2021,Calaveras,Payment Denial Notice,0,0,0,0
FY2021,Calaveras,Delivery System Notice,0,0,0,0
FY2021,Calaveras,Modification Notice,0,0,0,0
FY2021,Calaveras,Termination Notice,0,0,0,0
FY2021,Calaveras,Authorization Delay Notice,0,0,0,0
FY2021,Calaveras,Timely Access Notice,0,0,0,0
FY2021,Calaveras,Financial Liability Notice,0,0,0,0
FY2021,Calaveras,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Calaveras,All,0,0,0,0
FY2021,Colusa,Denial Notice,0,0,0,0
FY2021,Colusa,Payment Denial Notice,0,0,0,0
FY2021,Colusa,Delivery System Notice,0,0,0,0
FY2021,Colusa,Modification Notice,0,0,0,0
FY2021,Colusa,Termination Notice,0,0,0,0
FY2021,Colusa,Authorization Delay Notice,0,0,0,0
FY2021,Colusa,Timely Access Notice,0,0,0,0
FY2021,Colusa,Financial Liability Notice,0,0,0,0
FY2021,Colusa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Colusa,All,0,0,0,0
FY2021,Contra Costa,Denial Notice,0,0,0,0
FY2021,Contra Costa,Payment Denial Notice,0,0,0,0
FY2021,Contra Costa,Delivery System Notice,0,0,0,0
FY2021,Contra Costa,Modification Notice,0,0,0,0
FY2021,Contra Costa,Termination Notice,0,0,0,0
FY2021,Contra Costa,Authorization Delay Notice,0,0,0,0
FY2021,Contra Costa,Timely Access Notice,0,0,0,0
FY2021,Contra Costa,Financial Liability Notice,0,0,0,0
FY2021,Contra Costa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Contra Costa,All,0,0,0,0
FY2021,Del Norte,Denial Notice,1,0,1,0
FY2021,Del Norte,Payment Denial Notice,0,0,0,0
FY2021,Del Norte,Delivery System Notice,0,0,0,0
FY2021,Del Norte,Modification Notice,0,0,0,0
