Report Year,Geography,Grievance Category,Grievance Type,Grievance Count,Exempt Grievance Count,Unresolved as of June 30,Resolved,Referred,,,,,
FY2021,State,Access,Service not available,27,6,1,31,1,,,,,
FY2021,State,Access,Service not accessible,27,6,2,31,0,,,,,
FY2021,State,Access,Timeliness of services,47,13,5,55,0,,,,,
FY2021,State,Access,24/7 Toll-free access line,2,2,1,3,0,,,,,
FY2021,State,Access,Linguistic services,4,0,1,3,0,,,,,
FY2021,State,Access,Other access issues,49,20,3,65,1,,,,,
FY2021,State,Access,All,156,47,13,188,2,,,,,
FY2021,State,Quality of Care,Staff behavior concerns,688,118,46,744,16,,,,,
FY2021,State,Quality of Care,Treatment issues or concerns,522,112,51,573,10,,,,,
FY2021,State,Quality of Care,Medication concern,195,46,14,223,4,,,,,
FY2021,State,Quality of Care,Cultural appropriateness,1,0,0,1,0,,,,,
FY2021,State,Quality of Care,Other quality of care issues,134,49,7,171,5,,,,,
FY2021,State,Quality of Care,All,1540,325,118,1712,35,,,,,
FY2021,State,Change of Provider,Change of Provider,419,119,34,504,0,,,,, 
FY2021,State,Confidentiality Concern ,Confidentiality Concern ,37,6,2,41,0,,,,,
FY2021,State,Other ,Financial,62,6,4,62,2,,,,,
FY2021,State,Other ,Lost property,20,2,1,21,0,,,,,
FY2021,State,Other ,Operational,111,58,3,159,7,,,,,
FY2021,State,Other ,Patients' rights,93,25,8,97,13,,,,,
FY2021,State,Other ,Peer behaviors,46,4,2,47,1,,,,,
FY2021,State,Other ,Physical environment,32,3,5,30,0,,,,,
FY2021,State,Other ,Other grievance not listed above,129,53,7,155,20,,,,,
FY2021,State,Other ,All,493,151,30,571,43,,,,,
FY2021,State,All,All,2645,648,197,3016,80,,,,,
FY2021,Alameda,Access,Service not available,3,0,1,2,0,,,,,
FY2021,Alameda,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Alameda,Access,Timeliness of services,3,1,1,3,0,,,,,
FY2021,Alameda,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Alameda,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Alameda,Access,Other access issues,4,5,1,8,0,,,,,
FY2021,Alameda,Access,All,10,6,3,13,0,,,,,
FY2021,Alameda,Quality of Care,Staff behavior concerns,3,1,2,2,0,,,,,
FY2021,Alameda,Quality of Care,Treatment issues or concerns,1,0,0,1,0,,,,,
FY2021,Alameda,Quality of Care,Medication concern,7,3,1,8,1,,,,,
FY2021,Alameda,Quality of Care,Cultural appropriateness,1,0,0,1,0,,,,,
FY2021,Alameda,Quality of Care,Other quality of care issues,1,0,0,1,0,,,,,
FY2021,Alameda,Quality of Care,All,13,4,3,13,1,,,,,
FY2021,Alameda,Change of Provider,Change of Provider,11,3,0,14,0,,,,,
FY2021,Alameda,Confidentiality Concern ,Confidentiality Concern ,2,1,0,3,0,,,,,
FY2021,Alameda,Other ,Financial,2,0,1,1,0,,,,,
FY2021,Alameda,Other ,Lost property,1,0,0,1,0,,,,,
FY2021,Alameda,Other ,Operational,10,0,0,10,0,,,,,
FY2021,Alameda,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Alameda,Other ,Peer behaviors,2,0,1,1,0,,,,,
FY2021,Alameda,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Alameda,Other ,Other grievance not listed above,2,3,1,4,0,,,,,
FY2021,Alameda,Other ,All,17,3,3,17,0,,,,,
FY2021,Alameda,All,All,53,17,9,60,1,,,,,
FY2021,Alpine,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Alpine,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Alpine,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Alpine,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Alpine,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Alpine,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Alpine,Access,All,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,Treatment issues or concerns,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,Other quality of care issues,0,0,0,0,0,,,,,
FY2021,Alpine,Quality of Care,All,0,0,0,0,0,,,,,
FY2021,Alpine,Change of Provider,Change of Provider,0,0,0,0,0,,,,,
FY2021,Alpine,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Operational,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Alpine,Other ,All,0,0,0,0,0,,,,,
FY2021,Alpine,All,All,0,0,0,0,0,,,,,
FY2021,Amador,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Amador,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Amador,Access,Timeliness of services,0,0,0,0,0,,,,,
FY2021,Amador,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Amador,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Amador,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Amador,Access,All,0,0,0,0,0,,,,,
FY2021,Amador,Quality of Care,Staff behavior concerns,0,0,0,0,0,,,,,
FY2021,Amador,Quality of Care,Treatment issues or concerns,0,0,0,0,0,,,,,
FY2021,Amador,Quality of Care,Medication concern,0,0,0,0,0,,,,,
FY2021,Amador,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Amador,Quality of Care,Other quality of care issues,1,0,0,1,0,,,,,
FY2021,Amador,Quality of Care,All,1,0,0,1,0,,,,,
FY2021,Amador,Change of Provider,Change of Provider,2,0,0,2,0,,,,,
FY2021,Amador,Confidentiality Concern ,Confidentiality Concern ,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Financial,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Operational,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Patients' rights,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Physical environment,0,0,0,0,0,,,,,
FY2021,Amador,Other ,Other grievance not listed above,0,0,0,0,0,,,,,
FY2021,Amador,Other ,All,0,0,0,0,0,,,,,
FY2021,Amador,All,All,3,0,0,3,0,,,,,
FY2021,Butte,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Butte,Access,Service not accessible,3,3,0,6,0,,,,,
FY2021,Butte,Access,Timeliness of services,1,1,0,2,0,,,,,
FY2021,Butte,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Butte,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Butte,Access,Other access issues,3,5,0,8,0,,,,,
FY2021,Butte,Access,All,7,9,0,16,0,,,,,
FY2021,Butte,Quality of Care,Staff behavior concerns,15,15,3,27,0,,,,,
FY2021,Butte,Quality of Care,Treatment issues or concerns,17,21,1,35,2,,,,,
FY2021,Butte,Quality of Care,Medication concern,0,3,0,3,0,,,,,
FY2021,Butte,Quality of Care,Cultural appropriateness,0,0,0,0,0,,,,,
FY2021,Butte,Quality of Care,Other quality of care issues,1,1,0,2,0,,,,,
FY2021,Butte,Quality of Care,All,33,40,4,67,2,,,,,
FY2021,Butte,Change of Provider,Change of Provider,2,8,1,9,0,,,,,
FY2021,Butte,Confidentiality Concern ,Confidentiality Concern ,4,2,0,6,0,,,,,
FY2021,Butte,Other ,Financial,1,3,0,4,0,,,,,
FY2021,Butte,Other ,Lost property,0,0,0,0,0,,,,,
FY2021,Butte,Other ,Operational,2,6,0,8,0,,,,,
FY2021,Butte,Other ,Patients' rights,5,0,2,3,0,,,,,
FY2021,Butte,Other ,Peer behaviors,0,0,0,0,0,,,,,
FY2021,Butte,Other ,Physical environment,0,1,0,1,0,,,,,
FY2021,Butte,Other ,Other grievance not listed above,2,6,0,8,0,,,,,
FY2021,Butte,Other ,All,10,16,2,24,0,,,,,
FY2021,Butte,All,All,56,75,7,122,2,,,,,
FY2021,Calaveras,Access,Service not available,0,0,0,0,0,,,,,
FY2021,Calaveras,Access,Service not accessible,0,0,0,0,0,,,,,
FY2021,Calaveras,Access,Timeliness of services,0,1,0,1,0,,,,,
FY2021,Calaveras,Access,24/7 Toll-free access line,0,0,0,0,0,,,,,
FY2021,Calaveras,Access,Linguistic services,0,0,0,0,0,,,,,
FY2021,Calaveras,Access,Other access issues,0,0,0,0,0,,,,,
FY2021,Calaveras,Access,All,0,1,0,1,0,,,,,
