Report Year,Geography,Notice of Adverse Benefit Determination (NOABD) Category,Notice of Adverse Benefit Determination (NOABD) Issued
FY2021,State,Denial Notice,8979
FY2021,State,Payment Denial Notice,9325
FY2021,State,Delivery System Notice,11808
FY2021,State,Modification Notice,364
FY2021,State,Termination Notice,25177
FY2021,State,Authorization Delay Notice,581
FY2021,State,Timely Access Notice,9850
FY2021,State,Financial Liability Notice,15
FY2021,State,Grievance and Appeal Timely Resolution Notice,191
FY2021,State,All,66290
FY2021,Alameda,Denial Notice,44
FY2021,Alameda,Payment Denial Notice,690
FY2021,Alameda,Delivery System Notice,818
FY2021,Alameda,Modification Notice,1
FY2021,Alameda,Termination Notice,426
FY2021,Alameda,Authorization Delay Notice,18
FY2021,Alameda,Timely Access Notice,74
FY2021,Alameda,Financial Liability Notice,0
FY2021,Alameda,Grievance and Appeal Timely Resolution Notice,0
FY2021,Alameda,All,2071
FY2021,Alpine,Denial Notice,3
FY2021,Alpine,Payment Denial Notice,0
FY2021,Alpine,Delivery System Notice,4
FY2021,Alpine,Modification Notice,1
FY2021,Alpine,Termination Notice,7
FY2021,Alpine,Authorization Delay Notice,0
FY2021,Alpine,Timely Access Notice,0
FY2021,Alpine,Financial Liability Notice,0
FY2021,Alpine,Grievance and Appeal Timely Resolution Notice,0
FY2021,Alpine,All,15
FY2021,Amador,Denial Notice,29
FY2021,Amador,Payment Denial Notice,1
FY2021,Amador,Delivery System Notice,0
FY2021,Amador,Modification Notice,0
FY2021,Amador,Termination Notice,0
FY2021,Amador,Authorization Delay Notice,0
FY2021,Amador,Timely Access Notice,5
FY2021,Amador,Financial Liability Notice,0
FY2021,Amador,Grievance and Appeal Timely Resolution Notice,3
FY2021,Amador,All,38
FY2021,Butte,Denial Notice,0
FY2021,Butte,Payment Denial Notice,0
FY2021,Butte,Delivery System Notice,496
FY2021,Butte,Modification Notice,0
FY2021,Butte,Termination Notice,247
FY2021,Butte,Authorization Delay Notice,0
FY2021,Butte,Timely Access Notice,16
FY2021,Butte,Financial Liability Notice,0
FY2021,Butte,Grievance and Appeal Timely Resolution Notice,0
FY2021,Butte,All,759
FY2021,Calaveras,Denial Notice,10
FY2021,Calaveras,Payment Denial Notice,0
FY2021,Calaveras,Delivery System Notice,0
FY2021,Calaveras,Modification Notice,0
FY2021,Calaveras,Termination Notice,212
FY2021,Calaveras,Authorization Delay Notice,0
FY2021,Calaveras,Timely Access Notice,0
FY2021,Calaveras,Financial Liability Notice,0
FY2021,Calaveras,Grievance and Appeal Timely Resolution Notice,0
FY2021,Calaveras,All,222
FY2021,Colusa,Denial Notice,16
FY2021,Colusa,Payment Denial Notice,0
FY2021,Colusa,Delivery System Notice,16
FY2021,Colusa,Modification Notice,20
FY2021,Colusa,Termination Notice,1
FY2021,Colusa,Authorization Delay Notice,0
FY2021,Colusa,Timely Access Notice,28
FY2021,Colusa,Financial Liability Notice,0
FY2021,Colusa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Colusa,All,81
FY2021,Contra Costa,Denial Notice,269
FY2021,Contra Costa,Payment Denial Notice,18
FY2021,Contra Costa,Delivery System Notice,30
FY2021,Contra Costa,Modification Notice,1
FY2021,Contra Costa,Termination Notice,1
FY2021,Contra Costa,Authorization Delay Notice,0
FY2021,Contra Costa,Timely Access Notice,83
FY2021,Contra Costa,Financial Liability Notice,0
FY2021,Contra Costa,Grievance and Appeal Timely Resolution Notice,0
FY2021,Contra Costa,All,402
FY2021,Del Norte,Denial Notice,49
FY2021,Del Norte,Payment Denial Notice,10
FY2021,Del Norte,Delivery System Notice,2
FY2021,Del Norte,Modification Notice,0
FY2021,Del Norte,Termination Notice,33
FY2021,Del Norte,Authorization Delay Notice,0
FY2021,Del Norte,Timely Access Notice,0
FY2021,Del Norte,Financial Liability Notice,0
FY2021,Del Norte,Grievance and Appeal Timely Resolution Notice,0
FY2021,Del Norte,All,94
FY2021,El Dorado,Denial Notice,2
FY2021,El Dorado,Payment Denial Notice,0
FY2021,El Dorado,Delivery System Notice,700
FY2021,El Dorado,Modification Notice,13
