Behavioral Health Core Set Measure Performance Data per 1915b STCs,,,,,,,,,,
Measure_Year,Type,Measure,Category,Population,Numerator,Numerator_ANNOT,Denominator,Denominator_ANNOT,Rate,Rate_ANNOT
2020,MHP,AMM-AD,Acute,1_CA MEDI-CAL,"14,911",,"29,469",,50.6%,
2020,MCP,AMM-AD,Acute,1_CA MEDI-CAL,"53,714",,"96,874",,55.4%,
2020,Core Set,AMM-AD,Acute,1_CA MEDI-CAL,"68,625",,"126,343",,54.3%,
2020,MHP,AMM-AD,Continuation,1_CA MEDI-CAL,"9,336",,"29,469",,31.7%,
2020,MCP,AMM-AD,Continuation,1_CA MEDI-CAL,"32,432",,"96,874",,33.5%,
2020,Core Set,AMM-AD,Continuation,1_CA MEDI-CAL,"41,768",,"126,343",,33.1%,
2020,MHP,APP-CH,NA,1_CA MEDI-CAL,"3,349",,"3,776",,88.7%,
2020,MCP,APP-CH,NA,1_CA MEDI-CAL,372,,"1,563",,23.8%,
2020,Core Set,APP-CH,NA,1_CA MEDI-CAL,"3,721",,"5,339",,69.7%,
2020,MHP,FUH-AD,(1) 7-day,1_CA MEDI-CAL,"17,955",,"28,506",,63.0%,
2020,MCP,FUH-AD,(1) 7-day,1_CA MEDI-CAL,163,,984,,16.6%,
2020,Core Set,FUH-AD,(1) 7-day,1_CA MEDI-CAL,"18,118",,"29,490",,61.4%,
2020,MHP,FUH-AD,(2) 30-day,1_CA MEDI-CAL,"20,653",,"28,506",,72.5%,
2020,MCP,FUH-AD,(2) 30-day,1_CA MEDI-CAL,254,,984,,25.8%,
2020,Core Set,FUH-AD,(2) 30-day,1_CA MEDI-CAL,"20,907",,"29,490",,70.9%,
2020,MHP,FUH-CH,(1) 7-day,1_CA MEDI-CAL,"6,697",,"9,015",,74.3%,
2020,MCP,FUH-CH,(1) 7-day,1_CA MEDI-CAL,42,,151,,27.8%,
2020,Core Set,FUH-CH,(1) 7-day,1_CA MEDI-CAL,"6,739",,"9,166",,73.5%,
2020,MHP,FUH-CH,(2) 30-day,1_CA MEDI-CAL,"7,814",,"9,015",,86.7%,
2020,MCP,FUH-CH,(2) 30-day,1_CA MEDI-CAL,56,,151,,37.1%,
2020,Core Set,FUH-CH,(2) 30-day,1_CA MEDI-CAL,"7,870",,"9,166",,85.9%,
2020,MHP,SAA-AD,NA,1_CA MEDI-CAL,"32,463",,"52,521",,61.8%,
2020,MCP,SAA-AD,NA,1_CA MEDI-CAL,"9,516",,"13,541",,70.3%,
2020,Core Set,SAA-AD,NA,1_CA MEDI-CAL,"41,979",,"66,062",,63.5%,
2021,MHP,APP-CH,NA,1_CA MEDI-CAL,"3,409",,"3,826",,89.1%,
2021,MCP,APP-CH,NA,1_CA MEDI-CAL,378,,"1,528",,24.7%,
2021,Core Set,APP-CH,NA,1_CA MEDI-CAL,"3,787",,"5,354",,70.7%,
2021,MHP,FUH-AD,(1) 7-day,1_CA MEDI-CAL,"18,370",,"27,445",,66.9%,
2021,MHP,FUH-CH,(1) 7-day,1_CA MEDI-CAL,"7,408",,"9,959",,74.4%,
2021,MCP,FUH-AD,(1) 7-day,1_CA MEDI-CAL,232,,"1,080",,21.5%,
2021,MCP,FUH-CH,(1) 7-day,1_CA MEDI-CAL,68,,193,,35.2%,
2021,Core Set,FUH-AD,(1) 7-day,1_CA MEDI-CAL,"18,602",,"28,525",,65.2%,
2021,Core Set,FUH-CH,(1) 7-day,1_CA MEDI-CAL,"7,476",,"10,152",,73.6%,
2021,MHP,FUH-AD,(2) 30-day,1_CA MEDI-CAL,"20,925",,"27,445",,76.2%,
2021,MHP,FUH-CH,(2) 30-day,1_CA MEDI-CAL,"8,641",,"9,959",,86.8%,
2021,MCP,FUH-AD,(2) 30-day,1_CA MEDI-CAL,359,,"1,080",,33.2%,
2021,MCP,FUH-CH,(2) 30-day,1_CA MEDI-CAL,100,,193,,51.8%,
2021,Core Set,FUH-AD,(2) 30-day,1_CA MEDI-CAL,"21,284",,"28,525",,74.6%,
2021,Core Set,FUH-CH,(2) 30-day,1_CA MEDI-CAL,"8,741",,"10,152",,86.1%,
2021,MHP,AMM-AD,Acute,1_CA MEDI-CAL,"15,545",,"29,653",,52.4%,
2021,MCP,AMM-AD,Acute,1_CA MEDI-CAL,"58,878",,"100,455",,58.6%,
2021,Core Set,AMM-AD,Acute,1_CA MEDI-CAL,"74,423",,"130,108",,57.2%,
2021,MHP,AMM-AD,Continuation,1_CA MEDI-CAL,"9,774",,"29,653",,33.0%,
2021,MCP,AMM-AD,Continuation,1_CA MEDI-CAL,"36,077",,"100,455",,35.9%,
2021,Core Set,AMM-AD,Continuation,1_CA MEDI-CAL,"45,851",,"130,108",,35.2%,
2021,MHP,SAA-AD,NA,1_CA MEDI-CAL,"32,309",,"53,375",,60.5%,
2021,MCP,SAA-AD,NA,1_CA MEDI-CAL,"10,272",,"14,557",,70.6%,
2021,Core Set,SAA-AD,NA,1_CA MEDI-CAL,"42,581",,"67,932",,62.7%,
2020,MHP,AMM-AD,Acute,ALAMEDA,292,,635,,46.0%,
2020,MCP,AMM-AD,Acute,ALAMEDA,"1,653",,"2,892",,57.2%,
2020,Core Set,AMM-AD,Acute,ALAMEDA,"1,945",,"3,527",,55.1%,
2020,MHP,AMM-AD,Continuation,ALAMEDA,173,,635,,27.2%,
2020,MCP,AMM-AD,Continuation,ALAMEDA,990,,"2,892",,34.2%,
2020,Core Set,AMM-AD,Continuation,ALAMEDA,"1,163",,"3,527",,33.0%,
2020,MHP,APP-CH,NA,ALAMEDA,79,,91,,86.8%,
2020,MCP,APP-CH,NA,ALAMEDA,.,1,20,,.,1
2020,Core Set,APP-CH,NA,ALAMEDA,83,,111,,74.8%,
2020,MHP,FUH-AD,(1) 7-day,ALAMEDA,204,,378,,54.0%,
2020,MCP,FUH-AD,(1) 7-day,ALAMEDA,.,1,21,,.,1
2020,Core Set,FUH-AD,(1) 7-day,ALAMEDA,205,,399,,51.4%,
2020,MHP,FUH-AD,(2) 30-day,ALAMEDA,260,,378,,68.8%,
2020,MCP,FUH-AD,(2) 30-day,ALAMEDA,.,1,21,,.,1
2020,Core Set,FUH-AD,(2) 30-day,ALAMEDA,261,,399,,65.4%,
2020,MHP,FUH-CH,(1) 7-day,ALAMEDA,85,,150,,56.7%,
2020,Core Set,FUH-CH,(1) 7-day,ALAMEDA,85,,150,,56.7%,
2020,MHP,FUH-CH,(2) 30-day,ALAMEDA,111,,150,,74.0%,
2020,Core Set,FUH-CH,(2) 30-day,ALAMEDA,111,,150,,74.0%,
2020,MHP,SAA-AD,NA,ALAMEDA,"1,060",,"1,709",,62.0%,
2020,MCP,SAA-AD,NA,ALAMEDA,377,,563,,67.0%,
2020,Core Set,SAA-AD,NA,ALAMEDA,"1,437",,"2,272",,63.2%,
2021,MHP,APP-CH,NA,ALAMEDA,65,,83,,78.3%,
2021,MCP,APP-CH,NA,ALAMEDA,.,1,27,,.,1
2021,Core Set,APP-CH,NA,ALAMEDA,72,,110,,65.5%,
2021,MHP,FUH-AD,(1) 7-day,ALAMEDA,227,,337,,67.4%,
2021,MHP,FUH-CH,(1) 7-day,ALAMEDA,161,,239,,67.4%,
2021,MCP,FUH-AD,(1) 7-day,ALAMEDA,.,1,20,,.,1
2021,MCP,FUH-CH,(1) 7-day,ALAMEDA,.,1,.,1,.,1
2021,Core Set,FUH-AD,(1) 7-day,ALAMEDA,231,,357,,64.7%,
2021,Core Set,FUH-CH,(1) 7-day,ALAMEDA,163,,242,,67.4%,
2021,MHP,FUH-AD,(2) 30-day,ALAMEDA,256,,337,,76.0%,
2021,MHP,FUH-CH,(2) 30-day,ALAMEDA,195,,239,,81.6%,
2021,MCP,FUH-AD,(2) 30-day,ALAMEDA,.,1,20,,.,1
2021,MCP,FUH-CH,(2) 30-day,ALAMEDA,.,1,.,1,.,1
2021,Core Set,FUH-AD,(2) 30-day,ALAMEDA,265,,357,,74.2%,
2021,Core Set,FUH-CH,(2) 30-day,ALAMEDA,197,,242,,81.4%,
2021,MHP,AMM-AD,Acute,ALAMEDA,374,,735,,50.9%,
2021,MCP,AMM-AD,Acute,ALAMEDA,"1,921",,"3,082",,62.3%,
2021,Core Set,AMM-AD,Acute,ALAMEDA,"2,295",,"3,817",,60.1%,
2021,MHP,AMM-AD,Continuation,ALAMEDA,239,,735,,32.5%,
2021,MCP,AMM-AD,Continuation,ALAMEDA,"1,134",,"3,082",,36.8%,
2021,Core Set,AMM-AD,Continuation,ALAMEDA,"1,373",,"3,817",,36.0%,
2021,MHP,SAA-AD,NA,ALAMEDA,"1,026",,"1,692",,60.6%,
2021,MCP,SAA-AD,NA,ALAMEDA,389,,538,,72.3%,
2021,Core Set,SAA-AD,NA,ALAMEDA,"1,415",,"2,230",,63.5%,
2020,MHP,AMM-AD,Acute,ALPINE,.,1,.,1,.,1
2020,Core Set,AMM-AD,Acute,ALPINE,.,1,.,1,.,1
2020,MHP,AMM-AD,Continuation,ALPINE,.,1,.,1,.,1
2020,Core Set,AMM-AD,Continuation,ALPINE,.,1,.,1,.,1
2020,MHP,APP-CH,NA,ALPINE,0,,.,1,0.0%,
2020,Core Set,APP-CH,NA,ALPINE,0,,.,1,0.0%,
2021,MCP,AMM-AD,Acute,ALPINE,.,1,.,1,.,1
2021,Core Set,AMM-AD,Acute,ALPINE,.,1,.,1,.,1
2021,MCP,AMM-AD,Continuation,ALPINE,0,,.,1,0.0%,
2021,Core Set,AMM-AD,Continuation,ALPINE,0,,.,1,0.0%,
2021,MHP,SAA-AD,NA,ALPINE,.,1,.,1,.,1
2021,Core Set,SAA-AD,NA,ALPINE,.,1,.,1,.,1
2020,MHP,AMM-AD,Acute,AMADOR,25,,46,,54.3%,
2020,MCP,AMM-AD,Acute,AMADOR,37,,66,,56.1%,
2020,Core Set,AMM-AD,Acute,AMADOR,62,,112,,55.4%,
2020,MHP,AMM-AD,Continuation,AMADOR,13,,46,,28.3%,
2020,MCP,AMM-AD,Continuation,AMADOR,25,,66,,37.9%,
2020,Core Set,AMM-AD,Continuation,AMADOR,38,,112,,33.9%,
2020,MHP,APP-CH,NA,AMADOR,.,1,.,1,.,1
2020,MCP,APP-CH,NA,AMADOR,0,,.,1,0.0%,
2020,Core Set,APP-CH,NA,AMADOR,.,1,11,,.,1
2020,MHP,FUH-AD,(1) 7-day,AMADOR,.,1,14,,.,1
2020,MCP,FUH-AD,(1) 7-day,AMADOR,.,1,.,1,.,1
2020,Core Set,FUH-AD,(1) 7-day,AMADOR,12,,16,,75.0%,
2020,MHP,FUH-AD,(2) 30-day,AMADOR,11,,14,,78.6%,
2020,MCP,FUH-AD,(2) 30-day,AMADOR,.,1,.,1,.,1
2020,Core Set,FUH-AD,(2) 30-day,AMADOR,13,,16,,81.3%,
2020,MHP,FUH-CH,(1) 7-day,AMADOR,.,1,.,1,.,1
2020,Core Set,FUH-CH,(1) 7-day,AMADOR,.,1,.,1,.,1
2020,MHP,FUH-CH,(2) 30-day,AMADOR,.,1,.,1,.,1
2020,Core Set,FUH-CH,(2) 30-day,AMADOR,.,1,.,1,.,1
2020,MHP,SAA-AD,NA,AMADOR,17,,25,,68.0%,
2020,MCP,SAA-AD,NA,AMADOR,.,1,.,1,.,1
2020,Core Set,SAA-AD,NA,AMADOR,22,,31,,71.0%,
2021,MHP,APP-CH,NA,AMADOR,.,1,.,1,.,1
2021,Core Set,APP-CH,NA,AMADOR,.,1,.,1,.,1
2021,MHP,FUH-AD,(1) 7-day,AMADOR,11,,15,,73.3%,
2021,MHP,FUH-CH,(1) 7-day,AMADOR,.,1,.,1,.,1
2021,MCP,FUH-AD,(1) 7-day,AMADOR,.,1,.,1,.,1
2021,MCP,FUH-CH,(1) 7-day,AMADOR,0,,.,1,0.0%,
2021,Core Set,FUH-AD,(1) 7-day,AMADOR,12,,17,,70.6%,
2021,Core Set,FUH-CH,(1) 7-day,AMADOR,.,1,11,,.,1
2021,MHP,FUH-AD,(2) 30-day,AMADOR,12,,15,,80.0%,
