County,Year,Medication_Assisted_Treatment,members,status,annotation,annotation_description,Date_of_Data,CDO Approval Number
Alameda,2010,Buprenorphine,22,F,,,5/4/2023,CDO-23-0670
Alameda,2011,Buprenorphine,28,F,,,5/4/2023,CDO-23-0670
Alameda,2012,Buprenorphine,51,F,,,5/4/2023,CDO-23-0670
Alameda,2013,Buprenorphine,57,F,,,5/4/2023,CDO-23-0670
Alameda,2014,Buprenorphine,117,F,,,5/4/2023,CDO-23-0670
Alameda,2015,Buprenorphine,168,F,,,5/4/2023,CDO-23-0670
Alameda,2016,Buprenorphine,259,F,,,5/4/2023,CDO-23-0670
Alameda,2017,Buprenorphine,468,F,,,5/4/2023,CDO-23-0670
Alameda,2018,Buprenorphine,807,F,,,5/4/2023,CDO-23-0670
Alameda,2019,Buprenorphine,1144,F,,,5/4/2023,CDO-23-0670
Alameda,2020,Buprenorphine,1261,F,,,5/4/2023,CDO-23-0670
Alameda,2021,Buprenorphine,1429,F,,,5/4/2023,CDO-23-0670
Alameda,2022,Buprenorphine,1609,F,,,1/10/2025,CDO-25-0612
Alameda,2023,Buprenorphine,1826,F,,,10/17/2025,
Alameda,2024,Buprenorphine,2042,F,,,10/17/2025,
Alpine,2023,Buprenorphine,,F,1,cell suppressed for small numbers,10/17/2025,
Alpine,2024,Buprenorphine,,F,1,cell suppressed for small numbers,10/17/2025,
Amador,2023,Buprenorphine,102,F,,,10/17/2025,
Amador,2024,Buprenorphine,92,F,,,10/17/2025,
Amador / Alpine,2010,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2011,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2012,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2013,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2014,Buprenorphine,19,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2015,Buprenorphine,32,F,,,5/4/2023,CDO-23-0670
