County,Year,Quarter,Medication_Assisted_Treatment,members,status,annotation,annotation_description,Date_of_Data,CDO Approval Number
Alameda,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Alameda,2010,Q2,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Alameda,2010,Q3,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Alameda,2010,Q4,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Alameda,2011,Q1,Buprenorphine,18,F,,,5/4/2023,CDO-23-0670
Alameda,2011,Q2,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Alameda,2011,Q3,Buprenorphine,17,F,,,5/4/2023,CDO-23-0670
Alameda,2011,Q4,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Alameda,2012,Q1,Buprenorphine,19,F,,,5/4/2023,CDO-23-0670
Alameda,2012,Q2,Buprenorphine,27,F,,,5/4/2023,CDO-23-0670
Alameda,2012,Q3,Buprenorphine,31,F,,,5/4/2023,CDO-23-0670
Alameda,2012,Q4,Buprenorphine,37,F,,,5/4/2023,CDO-23-0670
Alameda,2013,Q1,Buprenorphine,43,F,,,5/4/2023,CDO-23-0670
Alameda,2013,Q2,Buprenorphine,35,F,,,5/4/2023,CDO-23-0670
Alameda,2013,Q3,Buprenorphine,30,F,,,5/4/2023,CDO-23-0670
Alameda,2013,Q4,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Alameda,2014,Q1,Buprenorphine,64,F,,,5/4/2023,CDO-23-0670
Alameda,2014,Q2,Buprenorphine,65,F,,,5/4/2023,CDO-23-0670
Alameda,2014,Q3,Buprenorphine,81,F,,,5/4/2023,CDO-23-0670
Alameda,2014,Q4,Buprenorphine,83,F,,,5/4/2023,CDO-23-0670
Alameda,2015,Q1,Buprenorphine,88,F,,,5/4/2023,CDO-23-0670
Alameda,2015,Q2,Buprenorphine,100,F,,,5/4/2023,CDO-23-0670
Alameda,2015,Q3,Buprenorphine,117,F,,,5/4/2023,CDO-23-0670
Alameda,2015,Q4,Buprenorphine,127,F,,,5/4/2023,CDO-23-0670
Alameda,2016,Q1,Buprenorphine,133,F,,,5/4/2023,CDO-23-0670
Alameda,2016,Q2,Buprenorphine,158,F,,,5/4/2023,CDO-23-0670
Alameda,2016,Q3,Buprenorphine,166,F,,,5/4/2023,CDO-23-0670
Alameda,2016,Q4,Buprenorphine,179,F,,,5/4/2023,CDO-23-0670
Alameda,2017,Q1,Buprenorphine,228,F,,,5/4/2023,CDO-23-0670
Alameda,2017,Q2,Buprenorphine,264,F,,,5/4/2023,CDO-23-0670
Alameda,2017,Q3,Buprenorphine,280,F,,,5/4/2023,CDO-23-0670
Alameda,2017,Q4,Buprenorphine,305,F,,,5/4/2023,CDO-23-0670
Alameda,2018,Q1,Buprenorphine,362,F,,,5/4/2023,CDO-23-0670
Alameda,2018,Q2,Buprenorphine,410,F,,,5/4/2023,CDO-23-0670
Alameda,2018,Q3,Buprenorphine,467,F,,,5/4/2023,CDO-23-0670
Alameda,2018,Q4,Buprenorphine,547,F,,,5/4/2023,CDO-23-0670
Alameda,2019,Q1,Buprenorphine,562,F,,,5/4/2023,CDO-23-0670
Alameda,2019,Q2,Buprenorphine,656,F,,,5/4/2023,CDO-23-0670
Alameda,2019,Q3,Buprenorphine,633,F,,,5/4/2023,CDO-23-0670
Alameda,2019,Q4,Buprenorphine,680,F,,,5/4/2023,CDO-23-0670
Alameda,2020,Q1,Buprenorphine,738,F,,,5/4/2023,CDO-23-0670
Alameda,2020,Q2,Buprenorphine,735,F,,,5/4/2023,CDO-23-0670
Alameda,2020,Q3,Buprenorphine,714,F,,,5/4/2023,CDO-23-0670
Alameda,2020,Q4,Buprenorphine,727,F,,,5/4/2023,CDO-23-0670
Alameda,2021,Q1,Buprenorphine,766,F,,,5/4/2023,CDO-23-0670
Alameda,2021,Q2,Buprenorphine,805,F,,,5/4/2023,CDO-23-0670
Alameda,2021,Q3,Buprenorphine,792,F,,,5/4/2023,CDO-23-0670
Alameda,2021,Q4,Buprenorphine,853,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2010,Q4,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2011,Q1,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2011,Q2,Buprenorphine,11,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2011,Q3,Buprenorphine,12,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Amador / Alpine,2014,Q2,Buprenorphine,13,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2014,Q3,Buprenorphine,16,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2014,Q4,Buprenorphine,15,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2015,Q1,Buprenorphine,21,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2015,Q2,Buprenorphine,25,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2015,Q3,Buprenorphine,23,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2015,Q4,Buprenorphine,24,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2016,Q1,Buprenorphine,31,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2016,Q2,Buprenorphine,33,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2016,Q3,Buprenorphine,33,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2016,Q4,Buprenorphine,28,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2017,Q1,Buprenorphine,33,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2017,Q2,Buprenorphine,38,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2017,Q3,Buprenorphine,38,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2017,Q4,Buprenorphine,36,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2018,Q1,Buprenorphine,43,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2018,Q2,Buprenorphine,48,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2018,Q3,Buprenorphine,57,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2018,Q4,Buprenorphine,63,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2019,Q1,Buprenorphine,58,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2019,Q2,Buprenorphine,61,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2019,Q3,Buprenorphine,58,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2019,Q4,Buprenorphine,58,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2020,Q1,Buprenorphine,61,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2020,Q2,Buprenorphine,59,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2020,Q3,Buprenorphine,67,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2020,Q4,Buprenorphine,67,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2021,Q1,Buprenorphine,63,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2021,Q2,Buprenorphine,74,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2021,Q3,Buprenorphine,67,F,,,5/4/2023,CDO-23-0670
Amador / Alpine,2021,Q4,Buprenorphine,70,F,,,5/4/2023,CDO-23-0670
Butte,2010,Q1,Buprenorphine,49,F,,,5/4/2023,CDO-23-0670
Butte,2010,Q2,Buprenorphine,50,F,,,5/4/2023,CDO-23-0670
Butte,2010,Q3,Buprenorphine,50,F,,,5/4/2023,CDO-23-0670
Butte,2010,Q4,Buprenorphine,52,F,,,5/4/2023,CDO-23-0670
Butte,2011,Q1,Buprenorphine,54,F,,,5/4/2023,CDO-23-0670
Butte,2011,Q2,Buprenorphine,50,F,,,5/4/2023,CDO-23-0670
Butte,2011,Q3,Buprenorphine,59,F,,,5/4/2023,CDO-23-0670
Butte,2011,Q4,Buprenorphine,67,F,,,5/4/2023,CDO-23-0670
Butte,2012,Q1,Buprenorphine,64,F,,,5/4/2023,CDO-23-0670
Butte,2012,Q2,Buprenorphine,59,F,,,5/4/2023,CDO-23-0670
Butte,2012,Q3,Buprenorphine,71,F,,,5/4/2023,CDO-23-0670
Butte,2012,Q4,Buprenorphine,71,F,,,5/4/2023,CDO-23-0670
Butte,2013,Q1,Buprenorphine,73,F,,,5/4/2023,CDO-23-0670
Butte,2013,Q2,Buprenorphine,77,F,,,5/4/2023,CDO-23-0670
Butte,2013,Q3,Buprenorphine,77,F,,,5/4/2023,CDO-23-0670
Butte,2013,Q4,Buprenorphine,66,F,,,5/4/2023,CDO-23-0670
Butte,2014,Q1,Buprenorphine,85,F,,,5/4/2023,CDO-23-0670
Butte,2014,Q2,Buprenorphine,112,F,,,5/4/2023,CDO-23-0670
Butte,2014,Q3,Buprenorphine,136,F,,,5/4/2023,CDO-23-0670
Butte,2014,Q4,Buprenorphine,147,F,,,5/4/2023,CDO-23-0670
Butte,2015,Q1,Buprenorphine,156,F,,,5/4/2023,CDO-23-0670
Butte,2015,Q2,Buprenorphine,199,F,,,5/4/2023,CDO-23-0670
Butte,2015,Q3,Buprenorphine,227,F,,,5/4/2023,CDO-23-0670
Butte,2015,Q4,Buprenorphine,222,F,,,5/4/2023,CDO-23-0670
Butte,2016,Q1,Buprenorphine,255,F,,,5/4/2023,CDO-23-0670
Butte,2016,Q2,Buprenorphine,258,F,,,5/4/2023,CDO-23-0670
Butte,2016,Q3,Buprenorphine,276,F,,,5/4/2023,CDO-23-0670
Butte,2016,Q4,Buprenorphine,297,F,,,5/4/2023,CDO-23-0670
Butte,2017,Q1,Buprenorphine,280,F,,,5/4/2023,CDO-23-0670
Butte,2017,Q2,Buprenorphine,317,F,,,5/4/2023,CDO-23-0670
Butte,2017,Q3,Buprenorphine,344,F,,,5/4/2023,CDO-23-0670
Butte,2017,Q4,Buprenorphine,343,F,,,5/4/2023,CDO-23-0670
Butte,2018,Q1,Buprenorphine,376,F,,,5/4/2023,CDO-23-0670
Butte,2018,Q2,Buprenorphine,388,F,,,5/4/2023,CDO-23-0670
Butte,2018,Q3,Buprenorphine,394,F,,,5/4/2023,CDO-23-0670
Butte,2018,Q4,Buprenorphine,427,F,,,5/4/2023,CDO-23-0670
Butte,2019,Q1,Buprenorphine,496,F,,,5/4/2023,CDO-23-0670
Butte,2019,Q2,Buprenorphine,496,F,,,5/4/2023,CDO-23-0670
Butte,2019,Q3,Buprenorphine,483,F,,,5/4/2023,CDO-23-0670
Butte,2019,Q4,Buprenorphine,517,F,,,5/4/2023,CDO-23-0670
Butte,2020,Q1,Buprenorphine,579,F,,,5/4/2023,CDO-23-0670
Butte,2020,Q2,Buprenorphine,625,F,,,5/4/2023,CDO-23-0670
Butte,2020,Q3,Buprenorphine,619,F,,,5/4/2023,CDO-23-0670
Butte,2020,Q4,Buprenorphine,654,F,,,5/4/2023,CDO-23-0670
Butte,2021,Q1,Buprenorphine,667,F,,,5/4/2023,CDO-23-0670
Butte,2021,Q2,Buprenorphine,654,F,,,5/4/2023,CDO-23-0670
Butte,2021,Q3,Buprenorphine,687,F,,,5/4/2023,CDO-23-0670
Butte,2021,Q4,Buprenorphine,684,F,,,5/4/2023,CDO-23-0670
Calaveras,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
Calaveras,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023,CDO-23-0670
