Health Care Delivery System,Health Care Delivery System Id,Fiscal Year,Demographic Group,MH Service Description,Units,Amount MH Service Received,Amount MH Service Received Suppression Identifier,Medi-Cal Delivery System,Population Category,Demographic Category
Alameda,1,2019/20,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,ADULT_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,426,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,186241.935,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,437.1876408,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,96,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,29663.16,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,308.99125,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_RESIDENTIAL_TX_SVCS,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,69,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,1359,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,19.69565217,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FFS_INPATIENT,MEMBER_COUNT,32,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FFS_INPATIENT,TOTAL_DAYS,307,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_REHAB,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_REHAB,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_REHAB,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,ICC,MEMBER_COUNT,269,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,ICC,TOTAL_MINUTES,386330.79,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,1436.173941,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,IHBS,MEMBER_COUNT,69,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,IHBS,TOTAL_MINUTES,53681.055,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,777.9863043,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,INPATIENT_ADMIN,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,INPATIENT_ADMIN,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,INPATIENT_ADMIN,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,211,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,82859.46,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,392.6988626,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,1164,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,4338193.65,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,3726.97049,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,MEMBER_COUNT,29,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS,490,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,SDMC_TOTAL,MEMBER_COUNT,1193,,SMHS,Open Child Welfare,0 All
Alameda,1,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,18959116.23,,SMHS,Open Child Welfare,0 All
